CLASS,PROPERTY,DATA TYPE,LABEL(S),COMMENT(S)
DataAndControlCouple,definedIn,FILE,,The file an ENTITY is defined or contained in
DataAndControlCouple,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DataAndControlCouple,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DataAndControlCouple,generatedAtTime,dateTime,,The time this entity was created and available for use
DataAndControlCouple,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DataAndControlCouple,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DataAndControlCouple,title,string,,"A short, human-readable identifying label."
DataAndControlCouple,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DataAndControlCouple,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DataAndControlCouple,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DataAndControlCouple,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DataAndControlCouple,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DataAndControlCouple,consumedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that consumes this information
DataAndControlCouple,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
DataAndControlCouple,providedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that provides this information
DataCoupleCoverageReport,,,,
DataCoupleCoverageReport,analyzes,ENTITY,,ENTITY(s) under analysis
DataCoupleCoverageReport,metric,float,,provides a numerical result value from the analysis that was performed
DataCoupleCoverageReport,producedBy,ACTIVITY,,ACTIVITY(s) (e.g. ANALYSIS) producing this report
DataCoupleCoverageReport,result,ANALYSIS_RESULT,,Passed/Failed/Indeterminate status of this report
DataCoupleCoverageReport,definedIn,FILE,,The file an ENTITY is defined or contained in
DataCoupleCoverageReport,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DataCoupleCoverageReport,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DataCoupleCoverageReport,generatedAtTime,dateTime,,The time this entity was created and available for use
DataCoupleCoverageReport,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DataCoupleCoverageReport,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DataCoupleCoverageReport,title,string,,"A short, human-readable identifying label."
DataCoupleCoverageReport,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DataCoupleCoverageReport,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DataCoupleCoverageReport,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DataCoupleCoverageReport,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DataCoupleCoverageReport,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DataCouplingAnalysis,,,,
DataCouplingAnalysis,performedBy,AGENT,,"Entity that is responsible for producing an analysis, could be a person or a tool. "
DataCouplingAnalysis,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DataCouplingAnalysis,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DataCouplingAnalysis,endedAtTime,dateTime,,The time an activity was ended
DataCouplingAnalysis,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DataCouplingAnalysis,startedAtTime,dateTime,,The time an activity was started
DataCouplingAnalysis,title,string,,"A short, human-readable identifying label."
DataCouplingAnalysis,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
DataCouplingAnalysis,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
DataCouplingAnalysis,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DataDictionary,,,,
DataDictionary,definedIn,FILE,,The file an ENTITY is defined or contained in
DataDictionary,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DataDictionary,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DataDictionary,generatedAtTime,dateTime,,The time this entity was created and available for use
DataDictionary,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DataDictionary,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
DataDictionary,title,string,,"A short, human-readable identifying label."
DataDictionary,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
DataDictionary,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
DataDictionary,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
DataDictionary,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
DataDictionary,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
DataDictionary,consumedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that consumes this information
DataDictionary,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
DataDictionary,providedBy,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that provides this information
DefineSystemInterfaces,,,,
DefineSystemInterfaces,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DefineSystemInterfaces,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DefineSystemInterfaces,endedAtTime,dateTime,,The time an activity was ended
DefineSystemInterfaces,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DefineSystemInterfaces,startedAtTime,dateTime,,The time an activity was started
DefineSystemInterfaces,title,string,,"A short, human-readable identifying label."
DefineSystemInterfaces,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
DefineSystemInterfaces,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
DefineSystemInterfaces,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DevelopComponentTests,,,,
DevelopComponentTests,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DevelopComponentTests,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DevelopComponentTests,endedAtTime,dateTime,,The time an activity was ended
DevelopComponentTests,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DevelopComponentTests,startedAtTime,dateTime,,The time an activity was started
DevelopComponentTests,title,string,,"A short, human-readable identifying label."
DevelopComponentTests,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
DevelopComponentTests,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
DevelopComponentTests,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DevelopComponentTests,developedBy,AGENT,,"Entity that is responsible for producing a test, could be a person or a tool. "
DevelopSystemArchitecture,,,,
DevelopSystemArchitecture,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DevelopSystemArchitecture,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DevelopSystemArchitecture,endedAtTime,dateTime,,The time an activity was ended
DevelopSystemArchitecture,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DevelopSystemArchitecture,startedAtTime,dateTime,,The time an activity was started
DevelopSystemArchitecture,title,string,,"A short, human-readable identifying label."
DevelopSystemArchitecture,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
DevelopSystemArchitecture,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
DevelopSystemArchitecture,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DevelopUnitTests,,,,
DevelopUnitTests,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
DevelopUnitTests,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
DevelopUnitTests,endedAtTime,dateTime,,The time an activity was ended
DevelopUnitTests,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
DevelopUnitTests,startedAtTime,dateTime,,The time an activity was started
DevelopUnitTests,title,string,,"A short, human-readable identifying label."
DevelopUnitTests,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
DevelopUnitTests,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
DevelopUnitTests,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
DevelopUnitTests,developedBy,AGENT,,"Entity that is responsible for producing a test, could be a person or a tool. "
Engineer,,,,
Engineer,emailAddress,string,,Email address of person
Engineer,employedBy,AGENT,,Relates people to the company they were acting on behalf of.
Engineer,actedOnBehalfOf,AGENT,,"Delegation is the assignment of authority and responsibility to an agent (by itself or by another agent) to carry out a specific activity as a delegate or representative, while the agent it acts on behalf of retains some responsibility for the outcome of the delegated work."
Engineer,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
Engineer,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
Engineer,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
Engineer,title,string,,"A short, human-readable identifying label."
ExecutableObject,,,,
ExecutableObject,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
ExecutableObject,definedIn,FILE,,The file an ENTITY is defined or contained in
ExecutableObject,fileFormat,FORMAT,,The byte-level encoding of a file
ExecutableObject,fileHash,FILE_HASH,,Hash of the file contents
ExecutableObject,filename,string,,A logical file path relative to the container of the file.
ExecutableObject,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
ExecutableObject,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ExecutableObject,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ExecutableObject,generatedAtTime,dateTime,,The time this entity was created and available for use
ExecutableObject,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ExecutableObject,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ExecutableObject,title,string,,"A short, human-readable identifying label."
ExecutableObject,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ExecutableObject,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ExecutableObject,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ExecutableObject,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ExecutableObject,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
GenerateSoftwareReleaseDocumentation,,,,
GenerateSoftwareReleaseDocumentation,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
GenerateSoftwareReleaseDocumentation,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
GenerateSoftwareReleaseDocumentation,endedAtTime,dateTime,,The time an activity was ended
GenerateSoftwareReleaseDocumentation,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
GenerateSoftwareReleaseDocumentation,startedAtTime,dateTime,,The time an activity was started
GenerateSoftwareReleaseDocumentation,title,string,,"A short, human-readable identifying label."
GenerateSoftwareReleaseDocumentation,used,ENTITY,,"Usage is the beginning of utilizing an entity by an activity. Before usage, the activity had not begun to utilize this entity and could not have been affected by the entity. (Note: This definition is formulated for a given usage; it is permitted for an activity to have used a same entity multiple times.)"
GenerateSoftwareReleaseDocumentation,wasAssociatedWith,AGENT,,"An activity association is an assignment of responsibility to an agent for an activity, indicating that the agent had a role in the activity. It further allows for a plan to be specified, which is the plan intended by the agent to achieve some goals in the context of this activity."
GenerateSoftwareReleaseDocumentation,wasInformedBy,ACTIVITY,,"a Communication, the exchange of some unspecified entity by two activities, one activity using some entity generated by the other."
HighLevelRequirement,,,,
HighLevelRequirement,definedIn,FILE,,The file an ENTITY is defined or contained in
HighLevelRequirement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
HighLevelRequirement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
HighLevelRequirement,generatedAtTime,dateTime,,The time this entity was created and available for use
HighLevelRequirement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
HighLevelRequirement,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
HighLevelRequirement,title,string,,"A short, human-readable identifying label."
HighLevelRequirement,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
HighLevelRequirement,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
HighLevelRequirement,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
HighLevelRequirement,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
HighLevelRequirement,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
HighLevelRequirement,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
HighLevelRequirement,givenText,string,,optional part that can be used to set certain conditions apart from other conditions in the ifText part
HighLevelRequirement,governs,ENTITY,,ENTITY(s) that are the subject of the requirement
HighLevelRequirement,ifText,string,,conditions under which this requirement holds
HighLevelRequirement,mitigates,ENTITY,,ENTITY(s) (e.g. HAZARD) that is being mitigated by this REQUIREMENT
HighLevelRequirement,satisfies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this REQUIREMENT is derived from
HighLevelRequirement,thenText,string,,specifies what should hold by this requirement if the requirement conditions are met
LowLevelRequirement,,,,
LowLevelRequirement,definedIn,FILE,,The file an ENTITY is defined or contained in
LowLevelRequirement,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
LowLevelRequirement,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
LowLevelRequirement,generatedAtTime,dateTime,,The time this entity was created and available for use
LowLevelRequirement,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
LowLevelRequirement,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
LowLevelRequirement,title,string,,"A short, human-readable identifying label."
LowLevelRequirement,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
LowLevelRequirement,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
LowLevelRequirement,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
LowLevelRequirement,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
LowLevelRequirement,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
LowLevelRequirement,createdBy (SHARED PROPERTY),ACTIVITY,,ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this data dictionary term ; ACTIVITY(s) (e.g. REQUIREMENT_DEVELOPMENT) that created this REQUIREMENT (SHARED PROPERTY)
LowLevelRequirement,givenText,string,,optional part that can be used to set certain conditions apart from other conditions in the ifText part
LowLevelRequirement,governs,ENTITY,,ENTITY(s) that are the subject of the requirement
LowLevelRequirement,ifText,string,,conditions under which this requirement holds
LowLevelRequirement,mitigates,ENTITY,,ENTITY(s) (e.g. HAZARD) that is being mitigated by this REQUIREMENT
LowLevelRequirement,satisfies,ENTITY,,Parent ENTITY(s) (e.g. REQUIREMENT) that this REQUIREMENT is derived from
LowLevelRequirement,thenText,string,,specifies what should hold by this requirement if the requirement conditions are met
ObjectFile,,,,
ObjectFile,createBy,FILE_CREATION,,FILE_CREATION ACTIVITY that created this file
ObjectFile,definedIn,FILE,,The file an ENTITY is defined or contained in
ObjectFile,fileFormat,FORMAT,,The byte-level encoding of a file
ObjectFile,fileHash,FILE_HASH,,Hash of the file contents
ObjectFile,filename,string,,A logical file path relative to the container of the file.
ObjectFile,satisfies,ENTITY,,ENTITY(s) (e.g. REQUIREMENT) that this code file participates in satisfying
ObjectFile,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ObjectFile,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ObjectFile,generatedAtTime,dateTime,,The time this entity was created and available for use
ObjectFile,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ObjectFile,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ObjectFile,title,string,,"A short, human-readable identifying label."
ObjectFile,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ObjectFile,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ObjectFile,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ObjectFile,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ObjectFile,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
ProblemReport,,,,
ProblemReport,approvalAuthority,AGENT,,AGENT responsible for approving a document.
ProblemReport,dateOfIssue,date,,Release date for the document.
ProblemReport,issuingOrganization,AGENT,,AGENT responsible for producing a document.
ProblemReport,references,ENTITY,,Source Materials used in the development of a document.
ProblemReport,status,DOC_STATUS,,"Identifies the maturity of the document, In_Development, Released, Withdrawn."
ProblemReport,versionNumber,string,,
ProblemReport,definedIn,FILE,,The file an ENTITY is defined or contained in
ProblemReport,content,ENTITY,,"A collection is an entity that provides a structure to some constituents, which are themselves entities. These constituents are said to be member of the collections."
ProblemReport,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
ProblemReport,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
ProblemReport,generatedAtTime,dateTime,,The time this entity was created and available for use
ProblemReport,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
ProblemReport,invalidatedAtTime,dateTime,,The time at which this entity was no longer usable
ProblemReport,title,string,,"A short, human-readable identifying label."
ProblemReport,wasAttributedTo,AGENT,,Attribution is the ascribing of an entity to an agent. https://www.w3.org/TR/prov-dm/#concept-attribution
ProblemReport,wasDerivedFrom,ENTITY,,"A derivation is a transformation of an entity into another, an update of an entity resulting in a new one, or the construction of a new entity based on a pre-existing entity."
ProblemReport,wasGeneratedBy (SHARED PROPERTY),ACTIVITY,,Generation is the completion of production of a new entity by an activity. This entity did not exist before generation and becomes available for usage after this generation. (SHARED PROPERTY)
ProblemReport,wasImpactedBy,ENTITY,,"Indicates that an entity materially affected another entity, and changing the former might affect or invalidate the latter."
ProblemReport,wasRevisionOf,ENTITY,,Indicates a direct line of primary descendancy from one entity to a derivative entity.
Problem_Reporting,,,,
Problem_Reporting,dataInsertedBy,ACTIVITY,,The activity that caused this data to be added to RACK
Problem_Reporting,description,string,,"A free-form, multi-line, human-readable explanation of this data element."
Problem_Reporting,endedAtTime,dateTime,,The time an activity was ended
Problem_Reporting,identifier,string,,identifier is any data item that is used to associate items on when loading into the data store.
Problem_Reporting,startedAtTime,dateTime,,The time an activity was started
Problem_Reporting,title,string,,"A short, human-readable identifying label."
